review_id,text,sentiment,category
40,"Livraison catastrophique, le colis a été perdu par le transporteur.",Négatif,Livraison
41,"Mon avis : Temps de livraison moyen, emballage standard.",Neutre,Livraison
42,"Délai d'attente interminable pour la livraison, plus d'une semaine de retard.",Négatif,Livraison
43,"Honnêtement, Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
44,"Mon avis : Temps de livraison moyen, emballage standard. Je conseille.",Neutre,Livraison
45,Très bon prix avec la promotion en cours. Je conseille.,Positif,Prix
46,"Suivi de livraison mensonger, soit-disant livré mais rien reçu.",Négatif,Livraison
47,"Déçu par cet article, il ne fonctionne pas du tout. !",Négatif,Produit
48,"Rapport qualité-prix très défavorable, je regrette cet achat coûteux.",Négatif,Prix
49,On trouve exactement le même produit deux fois moins cher ailleurs.,Négatif,Prix
50,Je suis surpris de la qualité pour un prix aussi bas. Déçu.,Positif,Prix
51,"Conforme à la description, les finitions sont magnifiques.",Positif,Produit
52,"Livraison correcte, dans les délais annoncés.",Neutre,Livraison
53,"Produit moyen, fait le job mais sans plus.",Neutre,Produit
54,"Livré le lendemain de ma commande, service impeccable.",Positif,Livraison
55,"Aucune considération pour le client, SAV inexistant.",Négatif,Service Client
56,Une équipe de support client très humaine et attentionnée.,Positif,Service Client
57,"Pour ma part, Très bon prix avec la promotion en cours.",Positif,Prix
58,"Pour ma part, Produit moyen, fait le job mais sans plus.",Neutre,Produit
59,Le conseiller a fait ce qu'il pouvait sans plus. à voir dans le temps.,Neutre,Service Client
60,SAV poli mais procédure d'échange un peu longue.,Neutre,Service Client
61,"Pour ma part, Rapport qualité-prix très défavorable, je regrette cet achat coûteux.",Négatif,Prix
62,"Livraison correcte, dans les délais annoncés..",Neutre,Livraison
63,"Conseiller au téléphone impoli, agressif et d'aucune aide.",Négatif,Service Client
64,"Pour ma part, Fonctionne comme prévu, mais n'a rien d'exceptionnel.",Neutre,Produit
65,"Livraison correcte, dans les délais annoncés. !",Neutre,Livraison
66,"Honnêtement, Temps d'attente correct pour joindre le support.",Neutre,Service Client
67,"Conseiller au téléphone impoli, agressif et d'aucune aide. !",Négatif,Service Client
68,"Fonctionne à merveille, le design est superbe.",Positif,Produit
69,Le conseiller a fait ce qu'il pouvait sans plus.,Neutre,Service Client
70,"Conforme à la description, les finitions sont magnifiques.",Positif,Produit
71,"Pour ma part, Ne correspond pas du tout à la photo ni à la description. !",Négatif,Produit
72,"Fonctionne à merveille, le design est superbe.",Positif,Produit
73,SAV poli mais procédure d'échange un peu longue.,Neutre,Service Client
74,"Conseiller au téléphone impoli, agressif et d'aucune aide.",Négatif,Service Client
75,"Un excellent produit, robuste et conforme à mes attentes.",Positif,Produit
76,Le prix est dans la moyenne du marché.,Neutre,Prix
77,"Honnêtement, Livraison correcte, dans les délais annoncés.",Neutre,Livraison
78,Le colis est arrivé avec trois jours de retard et carton écrasé..,Négatif,Livraison
79,"Retard de livraison inadmissible, aucun suivi disponible. !",Négatif,Livraison
80,"Le tarif a augmenté de 20% sans explication, c'est abusé.",Négatif,Prix
81,"Bonjour, Service après-vente incompétent qui n'a pas compris mon problème.",Négatif,Service Client
82,"Produit défectueux à l'arrivée, impossible de l'allumer.",Négatif,Produit
83,"Livraison catastrophique, le colis a été perdu par le transporteur.",Négatif,Livraison
84,"Bonjour, Service après-vente incompétent qui n'a pas compris mon problème..",Négatif,Service Client
85,"Délai d'attente interminable pour la livraison, plus d'une semaine de retard.",Négatif,Livraison
86,"Livraison catastrophique, le colis a été perdu par le transporteur.",Négatif,Livraison
87,Tarif standard sans réduction particulière.,Neutre,Prix
88,"Livraison ultra rapide, colis reçu en parfait état !",Positif,Livraison
89,"Pour ma part, Plastique de mauvaise qualité, très fragile, je ne recommande pas.",Négatif,Produit
90,Le SAV refuse de me rembourser malgré le défaut. Service lamentable..,Négatif,Service Client
91,"Bonjour, J'attends une réponse du support par mail depuis deux semaines.",Négatif,Service Client
92,Trop cher pour une qualité aussi basique.,Négatif,Prix
93,"Pour ma part, Fonctionne à merveille, le design est superbe.",Positif,Produit
94,Un prix très compétitif pour une telle qualité de service.,Positif,Prix
95,"Livraison ultra rapide, colis reçu en parfait état !",Positif,Livraison
96,"Ni cher ni bon marché, tarif normal.",Neutre,Prix
97,"Réponse reçue en 48 heures, standard..",Neutre,Service Client
98,"Déçu par cet article, il ne fonctionne pas du tout..",Négatif,Produit
99,"Des frais cachés s'ajoutent à la fin, ce n'est pas honnête.",Négatif,Prix
100,"Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
101,"Conseiller au téléphone impoli, agressif et d'aucune aide. à voir dans le temps.",Négatif,Service Client
102,"Réponse reçue en 48 heures, standard.",Neutre,Service Client
103,"Pour ma part, Je suis surpris de la qualité pour un prix aussi bas. Je conseille.",Positif,Prix
104,"Déçu par cet article, il ne fonctionne pas du tout.",Négatif,Produit
105,Tarif standard sans réduction particulière.,Neutre,Prix
106,"Délai d'attente interminable pour la livraison, plus d'une semaine de retard.",Négatif,Livraison
107,Trop cher pour une qualité aussi basique. !,Négatif,Prix
108,"La qualité est médiocre, le produit s'est cassé après deux jours d'utilisation. !",Négatif,Produit
109,"Honnêtement, Temps de livraison moyen, emballage standard. Je conseille.",Neutre,Livraison
110,Le colis est arrivé avec trois jours de retard et carton écrasé.,Négatif,Livraison
111,"Je l'utilise tous les jours, c'est un produit génial !",Positif,Produit
112,"Bonjour, Ni cher ni bon marché, tarif normal.",Neutre,Prix
113,Support client réactif et très professionnel. Problème résolu !,Positif,Service Client
114,Service après-vente incompétent qui n'a pas compris mon problème.,Négatif,Service Client
115,"Conforme à la description, les finitions sont magnifiques. !",Positif,Produit
116,Très bon prix avec la promotion en cours.,Positif,Prix
117,"Bonjour, Réponse reçue en 48 heures, standard. !",Neutre,Service Client
118,"Honnêtement, Le support a été d'une grande aide pour configurer l'appareil.",Positif,Service Client
119,"Fonctionne comme prévu, mais n'a rien d'exceptionnel.",Neutre,Produit
120,"Déçu par cet article, il ne fonctionne pas du tout.",Négatif,Produit
121,"Matériel de qualité professionnelle, très simple à utiliser. à voir dans le temps.",Positif,Produit
122,"Produit défectueux à l'arrivée, impossible de l'allumer.",Négatif,Produit
123,"Réponse reçue en 48 heures, standard.",Neutre,Service Client
124,"Qualité standard, conforme au prix payé.",Neutre,Produit
125,"Livraison catastrophique, le colis a été perdu par le transporteur.",Négatif,Livraison
126,"Déçu par cet article, il ne fonctionne pas du tout.",Négatif,Produit
127,"Excellent rapport qualité prix, je rachèterai sans hésiter.",Positif,Prix
128,"Livraison correcte, dans les délais annoncés. Je conseille.",Neutre,Livraison
129,"Temps de livraison moyen, emballage standard. Déçu.",Neutre,Livraison
130,Le SAV a traité ma demande de remboursement en quelques minutes.,Positif,Service Client
131,Support client réactif et très professionnel. Problème résolu !,Positif,Service Client
132,"Délai d'attente interminable pour la livraison, plus d'une semaine de retard.",Négatif,Livraison
133,"Fonctionne comme prévu, mais n'a rien d'exceptionnel. à voir dans le temps.",Neutre,Produit
134,"Qualité standard, conforme au prix payé.",Neutre,Produit
135,Une équipe de support client très humaine et attentionnée.,Positif,Service Client
136,"Retard de livraison inadmissible, aucun suivi disponible.",Négatif,Livraison
137,SAV poli mais procédure d'échange un peu longue.,Neutre,Service Client
138,"Pour ma part, Le support a été d'une grande aide pour configurer l'appareil.",Positif,Service Client
139,J'attends une réponse du support par mail depuis deux semaines.,Négatif,Service Client
140,"Pour ma part, Rapport qualité-prix très défavorable, je regrette cet achat coûteux.",Négatif,Prix
141,"Retard de livraison inadmissible, aucun suivi disponible.",Négatif,Livraison
142,"Produit moyen, fait le job mais sans plus.",Neutre,Produit
143,"Livraison correcte, dans les délais annoncés. Déçu.",Neutre,Livraison
144,"Le produit est de super qualité, je recommande vivement !",Positif,Produit
145,"Conseiller au téléphone impoli, agressif et d'aucune aide..",Négatif,Service Client
146,Service après-vente incompétent qui n'a pas compris mon problème.,Négatif,Service Client
147,Service après-vente incompétent qui n'a pas compris mon problème.,Négatif,Service Client
148,"Des frais cachés s'ajoutent à la fin, ce n'est pas honnête.",Négatif,Prix
149,"Livraison catastrophique, le colis a été perdu par le transporteur.",Négatif,Livraison
150,"Fonctionne comme prévu, mais n'a rien d'exceptionnel.",Neutre,Produit
151,"Service client au top, aimable et très efficace.",Positif,Service Client
152,"Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
153,"Service client au top, aimable et très efficace.",Positif,Service Client
154,"Reçu très rapidement, emballage soigné et sécurisé.",Positif,Livraison
155,"Retard de livraison inadmissible, aucun suivi disponible.",Négatif,Livraison
156,Mon avis : Le prix est dans la moyenne du marché.,Neutre,Prix
157,"Arrivé pile à l'heure, rien à redire sur le transport.",Positif,Livraison
158,Le SAV refuse de me rembourser malgré le défaut. Service lamentable.,Négatif,Service Client
159,Très bon prix avec la promotion en cours. à voir dans le temps.,Positif,Prix
160,"Honnêtement, Prix correct pour les prestations fournies.",Neutre,Prix
161,"Aucune considération pour le client, SAV inexistant. à voir dans le temps.",Négatif,Service Client
162,"Honnêtement, Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
163,"Conforme à la description, les finitions sont magnifiques.",Positif,Produit
164,"Je l'utilise tous les jours, c'est un produit génial !",Positif,Produit
165,"Pour ma part, Conforme à la description, les finitions sont magnifiques.",Positif,Produit
166,"Mon avis : Expédition rapide et colis très bien protégé, merci !",Positif,Livraison
167,"Fonctionne comme prévu, mais n'a rien d'exceptionnel.",Neutre,Produit
168,Le prix est dans la moyenne du marché.,Neutre,Prix
169,Un prix très compétitif pour une telle qualité de service.,Positif,Prix
170,Le prix est dans la moyenne du marché.,Neutre,Prix
171,Très bonne écoute de la part du conseiller au téléphone.,Positif,Service Client
172,Le SAV a traité ma demande de remboursement en quelques minutes.,Positif,Service Client
173,"Rapport qualité-prix très défavorable, je regrette cet achat coûteux. Je conseille.",Négatif,Prix
174,Support client réactif et très professionnel. Problème résolu !,Positif,Service Client
175,Le conseiller a fait ce qu'il pouvait sans plus.,Neutre,Service Client
176,"Honnêtement, Passez votre chemin, c'est du bas de gamme. à voir dans le temps.",Négatif,Produit
177,Le conseiller a fait ce qu'il pouvait sans plus. Déçu.,Neutre,Service Client
178,"Plastique de mauvaise qualité, très fragile, je ne recommande pas.",Négatif,Produit
179,"Suivi de livraison mensonger, soit-disant livré mais rien reçu. !",Négatif,Livraison
180,Ne correspond pas du tout à la photo ni à la description.,Négatif,Produit
181,Le conseiller a fait ce qu'il pouvait sans plus. Déçu.,Neutre,Service Client
182,"Bonjour, Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
183,"Bonjour, Service client au top, aimable et très efficace. Déçu.",Positif,Service Client
184,"Mon avis : Délai d'attente interminable pour la livraison, plus d'une semaine de retard.",Négatif,Livraison
185,"Déçu par cet article, il ne fonctionne pas du tout. Déçu.",Négatif,Produit
186,"Pour ma part, Très satisfait de cet achat, fonctionne parfaitement bien..",Positif,Produit
187,"Réponse reçue en 48 heures, standard.",Neutre,Service Client
188,"Des frais cachés s'ajoutent à la fin, ce n'est pas honnête. Je conseille.",Négatif,Prix
189,Beaucoup trop cher pour ce que c'est réellement.,Négatif,Prix
190,Le prix est dans la moyenne du marché. Je conseille.,Neutre,Prix
191,"Service client au top, aimable et très efficace.",Positif,Service Client
192,Livreur désagréable qui a laissé le colis sur le trottoir.,Négatif,Livraison
193,"Qualité standard, conforme au prix payé.",Neutre,Produit
194,"Reçu très rapidement, emballage soigné et sécurisé..",Positif,Livraison
195,J'attends une réponse du support par mail depuis deux semaines.,Négatif,Service Client
196,Ne correspond pas du tout à la photo ni à la description.,Négatif,Produit
197,"Honnêtement, Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
198,"Temps de livraison moyen, emballage standard.",Neutre,Livraison
199,"Le tarif a augmenté de 20% sans explication, c'est abusé.",Négatif,Prix
200,"Déçu par cet article, il ne fonctionne pas du tout.",Négatif,Produit
201,"Mon avis : Produit moyen, fait le job mais sans plus.",Neutre,Produit
202,"Bonjour, Aucune considération pour le client, SAV inexistant.",Négatif,Service Client
203,"Pour ma part, Réponse reçue en 48 heures, standard.",Neutre,Service Client
204,"Déçu par cet article, il ne fonctionne pas du tout..",Négatif,Produit
205,Le prix est prohibitif par rapport aux performances du produit.,Négatif,Prix
206,Temps d'attente correct pour joindre le support.,Neutre,Service Client
207,"Plastique de mauvaise qualité, très fragile, je ne recommande pas.",Négatif,Produit
208,"Reçu très rapidement, emballage soigné et sécurisé. !",Positif,Livraison
209,"Déçu par cet article, il ne fonctionne pas du tout.",Négatif,Produit
210,"Pour ma part, Livré avec un jour de retard mais carton intact.",Neutre,Livraison
211,"Reçu très rapidement, emballage soigné et sécurisé.",Positif,Livraison
212,Livré avec un jour de retard mais carton intact.,Neutre,Livraison
213,"Arrivé pile à l'heure, rien à redire sur le transport..",Positif,Livraison
214,Très bon prix avec la promotion en cours.,Positif,Prix
215,Livreur désagréable qui a laissé le colis sur le trottoir.,Négatif,Livraison
216,"Matériel de qualité professionnelle, très simple à utiliser.",Positif,Produit
217,"Pour ma part, Expédition rapide et colis très bien protégé, merci !",Positif,Livraison
218,"Le tarif a augmenté de 20% sans explication, c'est abusé.",Négatif,Prix
219,"Des frais cachés s'ajoutent à la fin, ce n'est pas honnête.",Négatif,Prix
220,On trouve exactement le même produit deux fois moins cher ailleurs.,Négatif,Prix
221,Le support a été d'une grande aide pour configurer l'appareil.,Positif,Service Client
222,Le SAV a traité ma demande de remboursement en quelques minutes.,Positif,Service Client
223,"Temps de livraison moyen, emballage standard.",Neutre,Livraison
224,"Ni cher ni bon marché, tarif normal.",Neutre,Prix
225,"Livraison correcte, dans les délais annoncés. !",Neutre,Livraison
226,"Bonjour, Le colis est arrivé avec trois jours de retard et carton écrasé. Je conseille.",Négatif,Livraison
227,"Le tarif a augmenté de 20% sans explication, c'est abusé.",Négatif,Prix
228,"Produit moyen, fait le job mais sans plus.",Neutre,Produit
229,Rapport qualité-prix imbattable sur le marché actuel.,Positif,Prix
230,Très bon prix avec la promotion en cours.,Positif,Prix
231,On trouve exactement le même produit deux fois moins cher ailleurs.,Négatif,Prix
232,Le prix est dans la moyenne du marché.,Neutre,Prix
233,Le SAV a traité ma demande de remboursement en quelques minutes.,Positif,Service Client
234,Un prix très compétitif pour une telle qualité de service.,Positif,Prix
235,Mon avis : Les fonctionnalités promises ne sont pas là. Très décevant.,Négatif,Produit
236,Je suis surpris de la qualité pour un prix aussi bas.,Positif,Prix
237,"Impossible de joindre le service client, le téléphone sonne dans le vide.",Négatif,Service Client
238,"Je l'utilise tous les jours, c'est un produit génial !",Positif,Produit
239,"Honnêtement, Passez votre chemin, c'est du bas de gamme.",Négatif,Produit
240,"Pour ma part, Service après-vente incompétent qui n'a pas compris mon problème.",Négatif,Service Client
241,"Pour ma part, Bonne affaire, beaucoup moins cher qu'en magasin physique.",Positif,Prix
242,Remplacement du produit défectueux fait sans aucun frais ni discussion.,Positif,Service Client
243,J'attends une réponse du support par mail depuis deux semaines.,Négatif,Service Client
244,"Honnêtement, Plastique de mauvaise qualité, très fragile, je ne recommande pas.",Négatif,Produit
245,Tarif tout à fait raisonnable et accessible. Déçu.,Positif,Prix
246,Prix correct pour les prestations fournies.,Neutre,Prix
247,Mon avis : Remplacement du produit défectueux fait sans aucun frais ni discussion.,Positif,Service Client
248,Mon avis : Un prix très compétitif pour une telle qualité de service.,Positif,Prix
249,"Bonjour, Fonctionne à merveille, le design est superbe. à voir dans le temps.",Positif,Produit
250,Remplacement du produit défectueux fait sans aucun frais ni discussion.,Positif,Service Client
251,"Produit moyen, fait le job mais sans plus.",Neutre,Produit
252,Colis reçu. Rien à signaler de particulier.,Neutre,Livraison
253,"Rapport qualité-prix très défavorable, je regrette cet achat coûteux.",Négatif,Prix
254,"Bonjour, Le conseiller a fait ce qu'il pouvait sans plus.",Neutre,Service Client
255,"Honnêtement, Le prix est dans la moyenne du marché.",Neutre,Prix
256,Le prix est prohibitif par rapport aux performances du produit.,Négatif,Prix
257,"Livré le lendemain de ma commande, service impeccable.",Positif,Livraison
258,"Bonjour, Produit moyen, fait le job mais sans plus..",Neutre,Produit
259,Le support a été d'une grande aide pour configurer l'appareil..,Positif,Service Client
260,"La qualité est médiocre, le produit s'est cassé après deux jours d'utilisation.",Négatif,Produit
261,"Suivi de livraison mensonger, soit-disant livré mais rien reçu.",Négatif,Livraison
262,Temps d'attente correct pour joindre le support. Déçu.,Neutre,Service Client
263,SAV poli mais procédure d'échange un peu longue.,Neutre,Service Client
264,On me ballade de service en service sans résoudre mon problème. Je conseille.,Négatif,Service Client
265,Le prix est prohibitif par rapport aux performances du produit.,Négatif,Prix
266,Mon avis : Remplacement du produit défectueux fait sans aucun frais ni discussion.,Positif,Service Client
267,"Fonctionne à merveille, le design est superbe.",Positif,Produit
268,"Bonjour, Le prix est dans la moyenne du marché.",Neutre,Prix
269,Le SAV refuse de me rembourser malgré le défaut. Service lamentable.,Négatif,Service Client
270,"Plastique de mauvaise qualité, très fragile, je ne recommande pas.",Négatif,Produit
271,Le SAV refuse de me rembourser malgré le défaut. Service lamentable..,Négatif,Service Client
272,"Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
273,"Des frais cachés s'ajoutent à la fin, ce n'est pas honnête.",Négatif,Prix
274,Très bonne écoute de la part du conseiller au téléphone. Déçu.,Positif,Service Client
275,"Super service de livraison, livreur très courtois et ponctuel.",Positif,Livraison
276,Temps d'attente correct pour joindre le support.,Neutre,Service Client
277,"Honnêtement, Retard de livraison inadmissible, aucun suivi disponible..",Négatif,Livraison
278,"Réponse reçue en 48 heures, standard.",Neutre,Service Client
279,"Ni cher ni bon marché, tarif normal.",Neutre,Prix
280,Support client réactif et très professionnel. Problème résolu !,Positif,Service Client
281,Un prix très compétitif pour une telle qualité de service.,Positif,Prix
282,"Mon avis : Super service de livraison, livreur très courtois et ponctuel.",Positif,Livraison
283,"Bonjour, Temps d'attente correct pour joindre le support.",Neutre,Service Client
284,"Un excellent produit, robuste et conforme à mes attentes. à voir dans le temps.",Positif,Produit
285,Beaucoup trop cher pour ce que c'est réellement.,Négatif,Prix
286,"Pour ma part, Déçu par cet article, il ne fonctionne pas du tout.",Négatif,Produit
287,Prix correct pour les prestations fournies.,Neutre,Prix
288,"Réponse reçue en 48 heures, standard.",Neutre,Service Client
289,"Produit défectueux à l'arrivée, impossible de l'allumer. Déçu.",Négatif,Produit
290,Mon avis : Tarif tout à fait raisonnable et accessible.,Positif,Prix
291,Livré avec un jour de retard mais carton intact.,Neutre,Livraison
292,"Super service de livraison, livreur très courtois et ponctuel.",Positif,Livraison
293,Tarif standard sans réduction particulière. Déçu.,Neutre,Prix
294,Remplacement du produit défectueux fait sans aucun frais ni discussion. !,Positif,Service Client
295,"Temps de livraison moyen, emballage standard.",Neutre,Livraison
296,"Bonjour, Je l'utilise tous les jours, c'est un produit génial !",Positif,Produit
297,Mon avis : SAV poli mais procédure d'échange un peu longue.,Neutre,Service Client
298,"Livraison correcte, dans les délais annoncés.",Neutre,Livraison
299,Prix correct pour les prestations fournies. Déçu.,Neutre,Prix
300,Mon avis : Livreur désagréable qui a laissé le colis sur le trottoir.,Négatif,Livraison
301,"Pour ma part, Le SAV a traité ma demande de remboursement en quelques minutes.",Positif,Service Client
302,"Pour ma part, Le support a été d'une grande aide pour configurer l'appareil.",Positif,Service Client
303,"Un excellent produit, robuste et conforme à mes attentes.",Positif,Produit
304,SAV poli mais procédure d'échange un peu longue.,Neutre,Service Client
305,Service après-vente incompétent qui n'a pas compris mon problème.,Négatif,Service Client
306,"Livraison en 24h chrono, impressionnant ! Je conseille.",Positif,Livraison
307,"Pour ma part, Colis reçu. Rien à signaler de particulier. !",Neutre,Livraison
308,"Le tarif a augmenté de 20% sans explication, c'est abusé.",Négatif,Prix
309,"Temps de livraison moyen, emballage standard.",Neutre,Livraison
310,"Très satisfait de cet achat, fonctionne parfaitement bien.",Positif,Produit
311,Le SAV refuse de me rembourser malgré le défaut. Service lamentable. à voir dans le temps.,Négatif,Service Client
312,"Livraison correcte, dans les délais annoncés.",Neutre,Livraison
313,Livré avec un jour de retard mais carton intact.,Neutre,Livraison
314,"Fonctionne comme prévu, mais n'a rien d'exceptionnel.",Neutre,Produit
315,Rapport qualité-prix imbattable sur le marché actuel.,Positif,Prix
316,"Conforme à la description, les finitions sont magnifiques.",Positif,Produit
317,Colis reçu. Rien à signaler de particulier.,Neutre,Livraison
318,Très bon prix avec la promotion en cours. !,Positif,Prix
319,"Bonne affaire, beaucoup moins cher qu'en magasin physique.",Positif,Prix
320,"Conseiller au téléphone impoli, agressif et d'aucune aide.",Négatif,Service Client
321,Remplacement du produit défectueux fait sans aucun frais ni discussion.,Positif,Service Client
322,"Service client au top, aimable et très efficace.",Positif,Service Client
323,"Bonjour, Le colis est arrivé avec trois jours de retard et carton écrasé. à voir dans le temps.",Négatif,Livraison
324,Très bonne écoute de la part du conseiller au téléphone.,Positif,Service Client
325,"Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
326,"Pour ma part, Retard de livraison inadmissible, aucun suivi disponible.",Négatif,Livraison
327,On me ballade de service en service sans résoudre mon problème.,Négatif,Service Client
328,Le prix est dans la moyenne du marché.,Neutre,Prix
329,"Service client au top, aimable et très efficace.",Positif,Service Client
330,"Excellent rapport qualité prix, je rachèterai sans hésiter.",Positif,Prix
331,"Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
332,Le SAV refuse de me rembourser malgré le défaut. Service lamentable.,Négatif,Service Client
333,"Réponse reçue en 48 heures, standard.",Neutre,Service Client
334,"Honnêtement, Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
335,Le conseiller a fait ce qu'il pouvait sans plus. !,Neutre,Service Client
336,"Pour ma part, Impossible de joindre le service client, le téléphone sonne dans le vide.",Négatif,Service Client
337,Ne correspond pas du tout à la photo ni à la description. à voir dans le temps.,Négatif,Produit
338,SAV poli mais procédure d'échange un peu longue. !,Neutre,Service Client
339,SAV poli mais procédure d'échange un peu longue.,Neutre,Service Client
340,On trouve exactement le même produit deux fois moins cher ailleurs.,Négatif,Prix
341,"Pour ma part, Tarif standard sans réduction particulière. Déçu.",Neutre,Prix
342,Le prix est dans la moyenne du marché.,Neutre,Prix
343,Le colis est arrivé ouvert et abîmé. Très mécontent.,Négatif,Livraison
344,"Pour ma part, Tarif tout à fait raisonnable et accessible.",Positif,Prix
345,Temps d'attente correct pour joindre le support. Déçu.,Neutre,Service Client
346,"Super service de livraison, livreur très courtois et ponctuel.",Positif,Livraison
347,"Ni cher ni bon marché, tarif normal.",Neutre,Prix
348,Tarif tout à fait raisonnable et accessible. Déçu.,Positif,Prix
349,"Matériel de qualité professionnelle, très simple à utiliser.",Positif,Produit
350,Le conseiller a fait ce qu'il pouvait sans plus..,Neutre,Service Client
351,"Temps de livraison moyen, emballage standard. !",Neutre,Livraison
352,"Passez votre chemin, c'est du bas de gamme.",Négatif,Produit
353,Tarif standard sans réduction particulière.,Neutre,Prix
354,Les fonctionnalités promises ne sont pas là. Très décevant.,Négatif,Produit
355,Je suis surpris de la qualité pour un prix aussi bas.,Positif,Prix
356,"Le tarif a augmenté de 20% sans explication, c'est abusé.",Négatif,Prix
357,Le conseiller a fait ce qu'il pouvait sans plus.,Neutre,Service Client
358,"Conforme à la description, les finitions sont magnifiques.",Positif,Produit
359,Colis reçu. Rien à signaler de particulier. à voir dans le temps.,Neutre,Livraison
360,Colis reçu. Rien à signaler de particulier.,Neutre,Livraison
361,Je suis surpris de la qualité pour un prix aussi bas.,Positif,Prix
362,Mon avis : On trouve exactement le même produit deux fois moins cher ailleurs.,Négatif,Prix
363,"Aucune considération pour le client, SAV inexistant.",Négatif,Service Client
364,"Livraison en 24h chrono, impressionnant !",Positif,Livraison
365,"Pour ma part, Un excellent produit, robuste et conforme à mes attentes.",Positif,Produit
366,"Bonjour, Je suis surpris de la qualité pour un prix aussi bas.",Positif,Prix
367,"Passez votre chemin, c'est du bas de gamme.",Négatif,Produit
368,"Expédition rapide et colis très bien protégé, merci !",Positif,Livraison
369,"Honnêtement, Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
370,"Honnêtement, Rapport qualité-prix imbattable sur le marché actuel.",Positif,Prix
371,"Qualité standard, conforme au prix payé. à voir dans le temps.",Neutre,Produit
372,"Produit défectueux à l'arrivée, impossible de l'allumer.",Négatif,Produit
373,Colis reçu. Rien à signaler de particulier.,Neutre,Livraison
374,"Le tarif a augmenté de 20% sans explication, c'est abusé.",Négatif,Prix
375,Prix correct pour les prestations fournies.,Neutre,Prix
376,"Pour ma part, Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
377,"Temps de livraison moyen, emballage standard.",Neutre,Livraison
